name|ingredients|url|image|cookTime|recipeYield|datePublished|prepTime|description|difficulty
Red Rice Salad with Boiled Eggs and Macadamias|1 3/4 cups to 2 cups water 1 cup red rice 2 tablespoons oil  4 large shallots, chopped 3 cloves garlic, chopped 1 large red chile, seeded and chopped 1-inch piece ginger root, chopped (hs note: I grated it) 1 teaspoon ground coriander 1 large carrot, thinly sliced 8 ounces green beans, trimmed and chopped 1/2 cup coconut milk (hs note: lite is fine) 1/4 cup soy sauce 1/2 teaspoon molasses 4 large eggs, boiled and peeled 1 large lime, quartered 1/2 cup julienned fresh basil 1/4 cup macadamia nuts, toasted and chopped|http://www.101cookbooks.com/archives/red-rice-salad-recipe.html|http://www.101cookbooks.com/mt-static/images/food/redricesaladrecipe_07.jpg||Serves 8.|2007-09-19||Indonesian red rice salad with boiled eggs and macadamias. Riveting to look at, with a wonderfully complex array of flavors and textures to enjoy. |Easy
Rajasthani Buttermilk Curry Recipe|1 tablespoon vegetable oil (hs note: I used clarified butter) 1 1/2 teaspoons black mustard seeds 1/2 teaspoon cumin seeds 1/2 teaspoon turmeric 1 large or 2 medium scallions, trimmed, sliced lengthwise in half and then crosswise into 1-inch lengths 1 green cayenne chile, minced (hs note: the serrano I had on hand was a reasonable substitute) 1/4 water, if using yogurt 1 cup plain (full-or-reduced fat) yogurt OR 1 1/4 cups buttermilk 1/2 teaspoon salt, or to taste 2/3 tablespoons chopped coriander leaves (hs note: also known as cilantro)|http://www.101cookbooks.com/archives/001407.html|http://www.101cookbooks.com/mt-static/images/food/buttermilk_curry_recipe.jpg||Serves 2 to 3.|2006-05-18||Rajasthani buttermilk curry recipe from the award-winning cookbook Mangoes &amp; Curry Leaves, by Jeffrey Alford and Naomi Duguid.|Easy
Roasted Cauliflower Recipe|4-inch segment of a thin day-old baguette 1 medium head of cauliflower, washed extra-virgin olive oil scant 1/2 teaspoon salt 2 cloves garlic, minced 1 fresh red chile pepper, minced|http://www.101cookbooks.com/archives/001533.html|http://www.101cookbooks.com/mt-static/images/food/roastedcauliflower.jpg||Serves 4. |2006-11-29||Oven-roasted cauliflower florets with breadcrumbs, garlic, red chile pepper, salt and olive oil.|Easy
Slurp-tastic Herb Noodles Recipe|4 ounces thin, dried spinach pasta  (thin) 1 cup coconut milk (light is fine) scant 1 tablespoon green or yellow curry paste 1 1/2 cups lightly flavored vegetable broth ~1/4 teaspoon salt (more or less depending on the saltiness of your broth) 6 ounces tofu, cut into small cubes or pieces 1/4 cup chives, minced 1/3 cup cilantro, chopped 1/4 cup basil, chopped just before using pinch of crushed red chile peppers|http://www.101cookbooks.com/archives/slurptastic-herb-noodles-recipe.html|http://www.101cookbooks.com/mt-static/images/food/herb_noodles.jpg||Serves 2 to 4.|2008-09-30||A big, slurpy bowl of whisper-thin spinach noodles draped in a spicy curry and herb broth - inspired by a beautiful box of noodles I picked up in Mill Valley, Ca.|Easy
Borlotti Bean Mole with Roast Winter Squash|~1 1/2 cups (7 ounces) fresh borlotti beans ~1 1/2 cups (7 ounces) winter squash olive oil 4 - 5  big leaves of kale (3 1/2 ounces) 2 tablespoons butter 1 medium onion, chopped 2 - 4 red jalapeno chiles, halved, seeded, and chopped 2 garlic cloves, chopped 1 pound of fresh plum tomatoes, chopped or 14-ounce can 2 teaspoons paprika 1 ounce of almonds, dark roasted and finely ground 2 ounces dark 70% dark chocolate, broken into pieces salt|http://www.101cookbooks.com/archives/borlotti-bean-mole-with-roast-winter-squash-recipe.html|http://www.101cookbooks.com/mt-static/images/food/pumpkin_mole_recipe.jpg||Serves 4.|2008-10-11||A rich, hearty vegetarian mole recipe from Denis Cotter's new book. Seasonal beans, squash, and kale are baked in a rich, hearty chocolate and paprika-spiked mole. |Easy
Pappardelle with Spiced Butter|1/4 teaspoon saffron threads pinch of salt 1 stick / 4 oz / 100 g butter 2 tablespoons extra virgin olive oil 6 medium shallots, chopped 1/2 teaspoon ground ginger 1/2 teaspoon sweet paprika 1/2 teaspoon ground coriander 1/2 teaspoon ground cinnamon scant 1/2 teaspoon cayenne pepper 1/4 teaspoon red chile flakes 1/4 teaspoon ground turmeric 1/4 teaspoon+ fine grain sea salt black pepper 1/2 pound / 8 oz / 225 g dried pappardelle egg pasta  1/2 pound / 8 oz / 225 g asparagus, sliced into 1/4-inch rounds splash of cream 1/2 cup / 2 oz / 60 g pine nuts, toasted and chopped 2 tablespoons roughly chopped mint 2 tablespoons roughly chopped parsley|http://www.101cookbooks.com/archives/pappardelle-with-spiced-butter-recipe.html|http://www.101cookbooks.com/mt-static/images/food/spiced_pappardelle_recipe.jpg|PT10M||2010-05-18|PT20M|A recap of my Sunday, including a few portraits I shot, plus a top-notch pasta with spiced butter and asparagus inspired by a recipe from Yotam Ottolenghi's new book.|Medium
A Good Soup for the Sick|1 pound cranberry beans (like Borlotti) 8 cups of water 15 medium cloves of garlic, peeled and trimmed 2 big shallots (I might have used a white onion but didn't have one), sliced on the axis into thin crescents 2-3 dried smoked chiles (I used smoked serranos) but I suspect dried chipotles or even one or two chipotles from the can (in adobo sauce) would work nicely 2 teaspoons+  fine sea salt for seasoning a drizzle of flavorful extra-virgin olive oil a small handful of cilantro, chopped a couple (optional) handfuls of a salty hard cheese, Parmesan, grated (I think my mystery cheese was actually Three Sisters Serena)|http://www.101cookbooks.com/archives/001397.html|http://www.101cookbooks.com/mt-static/images/food/soup_for_when_sick.jpg||Serves 4 to 6|2006-04-21||Turn to this miraculously delicious soup when you are feeling sick - beans, water, garlic, shallots, chiles. Total active prep time was under five minutes, the rest is just waiting and anticipating. |Easy
Lively Up Yourself Lentil Soup Recipe|2 cups black beluga lentils (or green French lentils), picked over and rinsed 1 tablespoon extra virgin olive oil 1 large onion, chopped 1 teaspoon fine-grain sea salt 1 28-ounce can crushed tomatoes 2 cups water  3 cups of a big leafy green (chard, kale, etc), rinsed well, deveined, finely chopped Saffron Yogurt a pinch of saffron (30-40 threads) 1 tablespoon boiling water two pinches of salt 1/2 cup 2% Greek Yogurt  Variations: - You can serve it with a poached egg on top, - or crunchy, fried shallots, - with a drizzle of chive infused cream, - or with chunks of tiny pan-fried butternut squash cubes. - Make a thicker version by using just a bit of water, and then spoon it over an omelette in the morning. - Have some cooked farro or wheat berries around? Toss some in. Millet might be good too. - You can finish the soup by adding your favorite spices or spice blends. Smoked paprika, crushed chiles, toasted cumin, would all work nicely.|http://www.101cookbooks.com/archives/lively-up-yourself-lentil-soup-recipe.html|http://www.101cookbooks.com/mt-static/images/food/lentil_soup_recipe_07.jpg||Serves 6 to 8. |2008-01-03||Healthy, quick, and satisfying this lentil soup recipe delivers layer after layer of flavor. The tang of the tomatoes plays off the earthiness of the lentils, and the fragrant bolt of saffron yogurt brightens each bowl.|Easy
Palak Daal|1 cup / 6.5 oz / 185 g white urid or urad daal, picked over and rinsed 6 cups / 1.5 liters water, plus more if necessary 1/2 pound spinach, washed and finely chopped 1 tablespoon ginger, peeled and finely chopped 1/2 teaspoon turmeric 2 medium green chile peppers, minced 2 tomatoes, chopped 1/2 teaspoon salt 2 tablespoons butter 1/2 teaspoon cumin seeds 1 teaspoon pure red chile powder a pinch of asafetida, optional more salt to taste juice of 1/2 a lemon 1/4 cup cilantro, chopped|http://www.101cookbooks.com/archives/palak-daal-recipe.html|http://www.101cookbooks.com/mt-static/images/food/palak_daal_recipe.jpg|PT120M||2010-01-30|PT20M|A palak daal recipe from Kasa's Anamika Khanna - a hearty pot of spinach, lentils, and spices. Kasa is a favorite Indian restaurant of mine here in San Francisco.|Hard
A Quartet of Compound Butters|4 tablespoons unsalted organic butter, room temperature 1 or 2 Numi Desert Lime tea bags (depending on how strong you want it), cut open and the contents ground in a mortar and pestle 1/4 teaspoon fine grain sea salt 4 tablespoons unsalted organic butter, room temperature 1 tablespoon organic cane sugar (I used Florida Crystals) 1/3 cup dehydrated organic strawberries, minced 4 tablespoons unsalted organic butter, room temperature 2 serrano chiles, deveined and  seeded, loosely chopped 1/4 teaspoon fine grain sea salt 4 tablespoons unsalted organic butter, room temperature 1 - 1 1/2 teaspoons smoked paprika 1/4 teaspoon fine grain sea salt|http://www.101cookbooks.com/archives/001470.html|http://www.101cookbooks.com/mt-static/images/food/compoundbutter.jpg|||2006-08-08||A quartet of vibrant, colorful, and unique compound butter recipes - Smoked Paprika, Dry Desert Lime, Raw Serrano, and Dehydrated Strawberry.  |Easy
My Favorite Grilled Kabob Recipe|Muhammara Slather: 1 tablespoon crushed red pepper flakes or 1 small red chile 1/2 teaspoon ground cumin 3/4 cup walnuts, toasted 1/4 cup whole-grain  bread crumbs 1/4 cup extra-virgin olive oil 2 tablespoons pomegranate molasses 1/4 cup tomato paste 2 to 3 roasted red peppers 1/2 to 1 cup warm water 1/2 teaspoon fine-grain sea salt Kabobs 2 red onions, each cut into 6 wedges 3 lemons, each cut into 4 lengthwise wedges 12 ounces extra-firm tofu, cut into 12 equal-sized cubes 12 mushrooms extra-virgin olive oil, for brushing fine-grain sea salt Special equipment: 6 wooden skewers|http://www.101cookbooks.com/archives/my-favorite-grilled-kabob-recipe.html|http://www.101cookbooks.com/mt-static/images/food/grilledkabobsrecipe.jpg||Makes 6 kabobs.|2007-06-27||A kabob recipe featuring grilled mushrooms, lemons, tofu red onions and a delicious red pepper walnut slather.|Easy
Pineapple Rice Recipe|1/3 cup macadamia oil, olive oil, or sunflower oil 2 teaspoons toasted sesame oil 1/4 cup (fresh or canned) all-natural 100% pineapple juice 1 garlic clove 1/4 teaspoon red pepper flakes 2 tablespoons soy sauce (or shoyu) 1 cup pineapple, cut into chunks 2 teaspoons freshly grated ginger 1/4 teaspoon fine grain sea salt 4 handfuls of mizuna, watercress, or arugula 2 1/2 cups cooked brown rice, room temperature 4 green onions, thinly sliced 3 shallots, peeled and thinly sliced 1 cup cashews, roasted/toasted and chopped 1/2 small serrano chile, seeded and deveined, and minced (optional) 4 ounces seitan, cut into little bits and pan-fried (optional)|http://www.101cookbooks.com/archives/pineapple-rice-recipe.html|http://www.101cookbooks.com/mt-static/images/food/pineapple_rice_recipe.jpg|PT5M||2009-09-15|PT15M|A nice platter of greens and brown rice doused in a spicy-salty-sweet pineapple dressing flecked with seitan. It's good hot or at room temperature.|Easy
Red Posole Recipe|1 pound / 16 oz / 453g dried ready-to-cook posole / hominy (see head notes) 1 small white onion, diced 3 medium garlic cloves, peeled and smashed 3 dried red New Mexican chile peppers, stems removed (see head notes) 1 teaspoon dried Mexican oregano Red Sauce: 2 tablespoons extra-virgin olive oil 2 tablespoons finely diced white onion 2 medium cloves garlic, finely chopped 1 teaspoon dried oregano 2 tablespoons flour 1/2 teaspoon ground cumin 1/2 cup / 2 oz / 50g ground red chile (see head notes) 1/2 teaspoon fine grain sea salt a quarter of one lime|http://www.101cookbooks.com/archives/red-posole-recipe.html|http://www.101cookbooks.com/mt-static/images/food/red_posole_recipe.jpg|PT20M||2009-12-24|PT240M|A big pot of red posole made on a stormy day. A brick-red brothy sauce surrounds the posole, and individual bowls are topped with thin wisps of pan-fried tortillas, a pinch of toasted Mexican oregano, and a bit of crumbled feta.|Hard
Dried Fava Soup with Mint and Guajillo Chiles|1 pound / 16 oz / 450g hulled dry fava beans, rinsed (see photo for reference if needed) 8 cups / 2 liters good vegetable broth or water 6 garlic cloves, unpeeled 1 large white onion, sliced 1/2-inch / 1 cm thick 1 1/2 pounds / 24 oz / 680g ripe tomatoes 6 medium dried guajillo or pasilla chiles, stemmed &amp; seeded 2 tablespoons extra virgin olive oil 2 tablespoons cider vinegar 3/4 teaspoon dried Mexican oregano 1 1/2 teaspoon fine-grain sea salt, plus more to taste 1/2 cup / .25 oz / 10g loosely packed chopped cilantro 2 tablespoons chopped fresh mint, pref. spearmint 1/2 cup / 2 oz / 55g crumbled Mexican queso anejo or feta|http://www.101cookbooks.com/archives/dried-fava-soup-with-mint-and-guajillo-chiles-recipe.html|http://www.101cookbooks.com/mt-static/images/food/fava_soup_recipe.jpg|PT100M||2010-09-15|PT10M|Easily one of the best, most interesting soups I've cooked in years. Adapted from a recipe in Rick Bayless's Mexican Kitchen - a dried fava bean and roasted tomato base topped with a fascinating cider-kissed tangy/sweet quick-pickled chile topping.|Hard
Ottolenghi Soba Noodles|1/2 cup / 120 ml brown rice vinegar scant 1/3 cup / 1.5 oz / 40 g fine-grain natural cane sugar or brown sugar 1/2 teaspoon fine grain sea salt 2 garlic cloves, peeled and crushed 1/4 teaspoon red pepper flakes or 1/2 fresh red chile, minced 1 teaspoon toasted sesame oil grated zest and juice of one lime 1/3 cup / 80 ml sunflower oil or olive oil 1 medium eggplant/aubergine 3/4 lb / 12 oz, cut into 1/2-inch / 1cm chunks 8 ounces / 225g dried soba noodles 1 large ripe mango, cut into small chunks 8 ounces grilled or pan-fried tofu, cut into tiny cubes 1/2 medium red onion, very thinly sliced a handful of basil leaves, slivered a handful of fresh cilantro / coriander, chopped|http://www.101cookbooks.com/archives/ottolenghi-soba-noodles-with-aubergine-and-mango-recipe.html|http://www.101cookbooks.com/mt-static/images/food/ottolenghi_soba_noodles.jpg|PT30M||2010-10-26|PT15M|Spicy brown sugar and lime-sauced soba noodles with tofu, eggplant, mango and lots of herbs. Inspired by a rare mango find, and a recipe in Yotam Ottolenghi's cookbook, Plenty.|Medium
Cucumber Peanut Salad|3 medium cucumbers, partially peeled 1-2 green serrano chiles, stemmed and minced 1/2 cup / 2.5 ounces / 70 g peanuts, toasted 1/3 cup / 1.5 ounces / 45 g dried large-flake coconut, toasted 2 tablespoons fresh lemon juice 1 teaspoon natural cane sugar 1 tablespoon, ghee, clarified butter, or sunflower oil 1/2 teaspoon black mustard seeds 1/4 teaspoon cumin seeds scant 1/2 teaspoon fine grain sea salt a handful cilantro, chopped|http://www.101cookbooks.com/archives/cucumber-peanut-salad-recipe.html|http://www.101cookbooks.com/mt-static/images/food/cucumber_peanut_salad_recipe.jpg|PT3M||2011-05-03|PT10M|We picked two new cookbooks to focus on in the 101 Cookbooks Library, and this recipe is inspired by a recipe from one of them. A refreshing chopped cucumber salad loaded with peanuts, spices, coconut, and chiles.|Easy
Sunchoke and Cashew Stir-fry|1 teaspoon peanut or sunflower oil 1 egg, beaten 1 tablespoon peanut or sunflower oil, plus more if needed 1 tablespoon minced ginger 2 cloves minced garlic 3 medium shallots, chopped 1/2 serrano chile pepper, deveined and minced 1 cup very thinly sliced sunchokes, well scrubbed Kernels from 2 ears of corn 1 1/2 - 2 cups day-old, cooked brown rice 1 egg, beaten (optional) 1 tablespoon soy sauce, plus more to taste 1/3 cup toasted almond slices 1/2 cup toasted cashews fine grain sea salt and pepper, to taste plenty of chopped fresh basil|http://www.101cookbooks.com/archives/sunchoke-and-cashew-stirfry-recipe.html|http://www.101cookbooks.com/mt-static/images/food/sunchoke_cashew_stirfry_recipe.jpg|PT3M|Serves 2-3 as a main course, more as part of a larger multi-course meal.|2012-07-12|PT10M|A beautiful fried rice made with brown rice, egg, sunchokes, cashews, and basil when Grace Young came over for lunch last week.|Easy
Baked Carrot Oven Fries|a big bunch of farmers' market carrots, washed, trimmed extra virgin olive oil sea salt 4 ounces organic tofu 1/4 cup orange juice quick squeeze of lime scant 1 teaspoon adobo sauce from a can of chipotle chiles 1/2 teaspoon fine grain sea salt|http://www.101cookbooks.com/archives/001529.html|http://www.101cookbooks.com/mt-static/images/food/bakedcarrotfries1.jpg|||2006-11-20||Made from carrots, this is a healthy, simple and delicious alternative to deep-fried potatoes. These baked oven fries (made from carrots) are simply roasted with olive oil and a sprinkling of sea salt.  |Easy
Fourth of July Roasted Tomato Salsa Recipe|2 pounds Roma tomatoes, cut in half lengthwise 1 medium white onion, cut into six wedges 1 large garlic clove, halved a couple pinches of finely ground sea salt 2-3 tablespoons of extra-virgin olive oil 1 medium dried guajillo chile pepper, soaked in boiling water until softened, and then drained 1 -2 chipotles in adobo sauce (canned) 1/2 cup cilantro, roughly chopped|http://www.101cookbooks.com/archives/fourth-of-july-roasted-tomato-salsa-recipe.html|http://www.101cookbooks.com/mt-static/images/food/salsarecipe_07.jpg||Makes about 2 1/2 cups.|2007-07-01||A deliciously vibrant, earthy, and slightly smoky-tasting salsa recipe. Different from salsa fresca, the deep, caramelized flavors of the roasted tomatoes and onions alongside the smokiness of the chipotles make for a richly beautiful and balanced salsa. |Easy
Sunburst Carrot Salad Recipe|2 bunches carrots, preferably spring carrots extra virgin olive oil fine grain sea salt 1 green chile (serrano), deveined and minced 1 lemon, zest and juice 1 cup cilantro, chopped 1 cup green pumpkin seeds (pepitas), toasted|http://www.101cookbooks.com/archives/sunburst-carrot-salad-recipe.html|http://www.101cookbooks.com/mt-static/images/food/carrot_salad_recipe_08.jpg||Serves 4 to 6.|2008-04-03||A favorite carrot salad recipe - carrot ribbons sauteed in a bit of salt and olive oil and finished off with lemon zest, finely chopped serrano chiles, a quick squeeze of lemon juice, and lots of cilantro.  |Easy
Lime &amp; Peanut Coleslaw Recipe|1 1/2 cups unsalted raw peanuts 1/2 of a medium-large cabbage 1 basket of tiny cherry tomatoes, washed and quartered 1 jalapeno chile, seeded and diced 3/4 cup cilantro, chopped 1/4 cup freshly squeezed lime juice 2 tablespoons olive oil 1/4 teaspoon + fine-grain sea salt|http://www.101cookbooks.com/archives/lime-peanut-coleslaw-recipe.html|http://www.101cookbooks.com/mt-static/images/food/coleslaw_recipe.jpg||Serves 6 as a side.|2008-07-02||This feather-light, mayo-free, coleslaw recipe uses toasted peanuts, cherry tomatoes, and lime vinaigrette and is perfect alongside fajitas, or whatever you have coming off the grill. Keep in mind - great coleslaw is rooted in great knife skills. |Easy
Pepita Salad Recipe|1 cup pepitas, toasted (divided) 1 cup cilantro leaves and stems, well washed and lightly packed 1/3 cup Parmesan cheese, freshly grated 3 medium cloves garlic, peeled juice of 1 medium lemon 1 serrano chile pepper, minced 2/3 cup extra-virgin olive oil 4 cups cooked yellow split peas* 2 handfuls lettuce, torn into bite-sized pieces|http://www.101cookbooks.com/archives/pepita-salad-recipe.html|http://www.101cookbooks.com/mt-static/images/food/pepita_salad_recipe.jpg||Serves 6 or so.|2008-10-20||A great pepita salad that can brighten up any table. Made from a simple combination of yellow split peas, toasted pepitas, and cilantro pesto.|Easy
Lentil Almond Stir-Fry Recipe|Mint sauce (optional) 1 cup fresh mint leaves 1/2 serrano chile pepper, de-veined and seeded 2 tablespoons olive oil pinch of salt a touch of sugar, or honey, or agave nectar 1 tablespoon lemon juice extra-virgin olive oil 6 to 8 very small new potatoes, cut into 1/2 pieces 2 cups cooked brown or black lentils 12 brussels sprouts, trimmed and quartered 1/4 cup sliced almonds, toasted 1/3 cup plain Greek yogurt, thinned out with a bit of water, and salted with a pinch of salt 2 dates, pitted and chopped|http://www.101cookbooks.com/archives/lentil-almond-stirfry-recipe.html|http://www.101cookbooks.com/mt-static/images/food/lentil_almond_stirfry.jpg||Serves 2-3.|2009-01-03||A good cold-weather stir-fry recipe. Tiny potatoes, brussels sprout wedges, toasted almonds and lentils are served with a drizzle of mint and a bit of thinned-out, salted plain yogurt, and a sprinkling of chopped dates.|Easy
Adzuki Butternut Squash Soup Recipe|2 tablespoons olive oil 1 teaspoon cinnamon 1 teaspoon (dried) coriander 2 teaspoons finely chopped chipotle pepper (from can, or rehydrated from dried chile) 2 teaspoons fine grain sea salt 2 medium-large onions 6 cloves garlic, minced 4 cups butternut squash, peeled and cut into 1/4-inch dice 5 - 6 cups water 5 whole canned tomatoes, chopped 4 cups cooked or canned adzuki beans cilantro drizzle (optional)*|http://www.101cookbooks.com/archives/adzuki-butternut-squash-soup-recipe.html|http://www.101cookbooks.com/mt-static/images/food/adzuki_butternut_squash_soup.jpg||Serves about 8.|2009-02-11||A hearty adzuki and butternut squash soup recipe adapted from Jae Steele's Get It Ripe cookbook. The soup has a bit of chipotle flavor and is made even better with a drizzle of cilantro olive oil prior to serving.|Easy
Carrot Soup Recipe|1 1/4 pounds carrots 1 tablespoon extra-virgin olive oil (or clarified butter) 2 medium cloves garlic, minced 1 large yellow onion, chopped 3 cups+ vegetable stock or water juice of 1/2 a lemon fine grain sea salt (as much as you need) - olive oil, toasted sesame oil, or red chile oil for a finishing drizzle - if you use toasted sesame oil (sometimes labeled pure sesame oil) it is very strong. I typically dilute it with olive oil. I use one part sesame oil to four parts olive oil.|http://www.101cookbooks.com/archives/carrot-soup-recipe.html|http://www.101cookbooks.com/mt-static/images/food/carrot_soup_recipe.jpg||Serves about 4.|2009-04-08||A simple, weeknight carrot soup recipe finished with a thread of toasted sesame oil. You can leave it slightly chunky, or puree it until smooth - whatever your preference.|Easy
Fresh Pea Salad Recipe|1 cup fresh mint leaves 2 dried dates, pitted 1/2 of a small serrano chile, stem removed a squeeze of fresh lemon juice and zest from that lemon 1 1/2 cups fresh peas 1 small head of romaine lettuce, cut into shreds 1/2 cup toasted pumpkin seeds fine grain sea salt|http://www.101cookbooks.com/archives/fresh-pea-salad--recipe.html|http://www.101cookbooks.com/mt-static/images/food/fresh_pea_salad_recipe.jpg||Serves 2 - 4.|2009-04-22||A pea salad jazzed up with spicy mint-date dressing and tossed with shredded romaine and toasted pumpkin seeds for crunch and texture. A tasty, off-beat, almost burner-free recipe.|Easy
Green Curry Broth|1 tablespoon coriander seeds 1 1/2 teaspoon whole cumin seeds 2 tablespoons coconut oil, clarified butter, or olive oil 4 shallots, thinly sliced 4 medium garlic cloves, finely chopped 4 small serrano chile peppers, thinly sliced (see head notes) 3 lemongrass stalks, minced (see head notes!) a 1 1/2-inch piece of ginger, peeled then grated 8 green onions, trimmed, thinly sliced 1/8 teaspoon turmeric powder 1/4 cup / 60 ml freshly squeezed lime juice &amp; a bit of zest 6 - 7 cups / 1.5 liters / 1.5 quarts good-tasting vegetable broth 12 ounces / 340 g tofu, cut into tiny cubes  OR  6 oz tofu cubes + 6 oz yuba skins, cut into thin strips kernels from 2 ears of corn 4 handfuls of torn spinach, stems trimmed a small handful of each of the following: fresh mint, fresh cilantro, fresh basil, all chopped just before serving and combined in a small bowl|http://www.101cookbooks.com/archives/green-curry-broth-recipe.html|http://www.101cookbooks.com/mt-static/images/food/green_curry_broth_recipe.jpg|PT15M|Serves 4.|2010-08-24|PT20M|A beautiful, thin green curry broth, fragrant with garlic, lemongrass, and ginger. It gets heat from serrano chiles, and zings of tanginess from fresh lime juice. Cumin and coriander seeds keep things grounded, and a flurry of freshly chopped herbs make the sky open up.|Medium
Zucchini Pickles|3 medium zucchini (1 pound / 16 oz / 450 g), thinly sliced  1 medium white onion, thinly sliced  3 shallots, thinly sliced  1 1/2 tablespoons fine grain sea salt  1/4 cup (small handful) fresh dill sprigs 1 small fresh red chile pepper, very thinly sliced 1/2 tablespoon yellow mustard seeds  3/4 cup / 180 ml cider vinegar  3/4 cup / 180 ml white wine vinegar  1/3 cup / 1.75 oz / 50g natural cane sugar|http://www.101cookbooks.com/archives/quick-pickled-zucchini-recipe.html|http://www.101cookbooks.com/mt-static/images/food/pickled_zucchini_recipe.jpg|PT5M|Makes one large jar.|2010-09-08|PT120M|I've been making these coin-shaped zucchini pickles all summer. They're quick to make, great to have on hand, and I don't bother canning them. Delicious on crusty, goat-cheese slathered grilled bread (or just about anything cheesy or crunchy) and simple salads.|Hard
Spiced Cauliflower with Sesame Seeds|1 1/2 tablespoons extra-virgin olive oil or clarified butter 1 teaspoon cumin seeds 2 medium yellow onions, finely sliced a pinch of turmeric fine grain sea salt 1 medium / 12 oz cauliflower, thinly sliced  4 dried red chiles, stemmed and halved 1-2 teaspoon sesame seeds, lightly toasted 1 garlic clove, grated 4 cm / 1 1/2-inch piece of fresh ginger, peeled and finely grated 1-2 green jalapeno chiles, seeds removed, finely chopped 2-3 tablespoons chopped fresh cilantro / coriander|http://www.101cookbooks.com/archives/spicy-cauliflower-with-sesame-recipe.html|http://www.101cookbooks.com/mt-static/images/food/spicy_cauliflower_recipe.jpg|PT15M||2010-11-10|PT20M|Cauliflower tastes great like this. Imagine a skillet of caramelized onions cooked down with fragrant cumin, ginger, garlic, sesame seeds and chiles. Add cauliflower and cook until tender. Vibrant, spicy, sweet earthiness, all on one plate.|Medium
Green Pea Soup Recipe|3 tablespoons fresh ginger, well chopped 10 sm-med cloves garlic, smashed and peeled 2 serrano chiles, stemmed and chopped 1/4 teaspoon ground cumin, plus more to serve 3 tablespoons ghee or sunflower oil 2 bay leaves 1 medium onion, chopped 4 1/2 cups good-tasting vegetable stock or water 3 1/2 cups / 500 g / 18 oz shelled fresh or frozen peas 1 teaspoon sea salt, or to taste a squeeze of fresh lemon juice 8 fresh mint leaves, slivered pan-fried paneed, queso fresco, or haloumi, cut into tiny cubes - optional|http://www.101cookbooks.com/archives/green-pea-soup-recipe.html|http://www.101cookbooks.com/mt-static/images/food/pea_soup_recipe.jpg|PT10M|Serves 4 - 6.|2011-05-31|PT7M|A simple Indian-spiced green pea soup, and a few snapshots of things I'm bringing with me in a move up the street.|Easy
Spicy Lemon Coconut Sauce|1 clove garlic, peeled 1 medium jalapeno (or serrano) chile, deseeded and chopped 1/2 teaspoon fine grain sea salt, plus more to taste 1 tablespoons sunflower oil 1 small bunch of scallions, thinly sliced (~8 scallions) 1/2 cup finely chopped cilantro 1 14-ounce can of coconut milk (full fat) 3 tablespoons freshly squeezed lemon juice, plus more to taste|http://www.101cookbooks.com/archives/spicy-lemon-coconut-sauce-recipe.html|http://www.101cookbooks.com/mt-static/images/food/spicy_lemon_coconut_sauce.jpg||Makes about 2 1/2 cups.|2012-04-27|PT5M|A spicy lemon coconut sauce that is good on just about everything - noodles, frittatas, soups. Keep a jar in the refrigerator, and you can use it to make things a little special throughout the week.|Easy
Yellow Bean Salad|1 pound / 16 oz yellow runner beans 1 serrano chile, stemmed and seeded 5 green onions, green parts trimmed &amp; reserved a big handful of cilantro 1 clove garlic, peeled and smashed 3/4 teaspoon fine grain sea salt 1 tablespoon sunflower oil 1 cup coconut milk, well mixed 1- 2 tablespoons freshly squeezed lemon juice, or to taste 2 big handfuls / 1/2 cup toasted pepitas 1 1/2 cups tiny pan-fried tofu cubes, optional basil flower garnish, optional|http://www.101cookbooks.com/archives/yellow-bean-salad-recipe.html|http://www.101cookbooks.com/mt-static/images/food/yellow_bean_salad_recipe.jpg|PT10M||2012-08-19|PT10M|A summer yellow bean salad with a green chile-spiked, cilantro-flecked, and coconut milk dressing, toasted pepitas, and (if you want to make a meal of it) pan-fried tofu.|Easy
New Year Noodle Soup|2 tablespoons olive oil 1 onion, thinly sliced 1 long red chili OR green serrano, finely chopped 1/2 teaspoon ground turmeric 1 teaspoon ground cumin 1/4 teaspoon freshly ground black pepper 8 1/2 cups / 2 liters good-tasting vegetable stock/broth 100g / 3.5 oz yellow split peas or brown lentils 1 1/2 cups cooked chickpeas, rinsed if using canned 2 cups / 350g cooked borlotti beans fine grain sea salt 120 g thin egg noodles, fresh or dried 3 1/2 oz / 100g fresh spinach leaves, finely shredded 1/2 cup finely shredded cilantro leaves 2 tablespoons chopped fresh dill juice of one lime Toppings: 1 tablespoon olive oil 1 tablespoon unsalted butter 1 large onion, thinly sliced 100 ml sour cream or creme fraiche 50g / scant 2 ounces of toasted, chopped walnuts|http://www.101cookbooks.com/archives/new-year-noodle-soup-recipe.html|http://www.101cookbooks.com/mt-static/images/food/newyear_noodle_soup_recipe_xl.jpg|PT40M||2011-01-01|PT20M|An amazing New Year Noodle Soup from Greg &amp; Lucy Malouf's beautiful book, Saraban. It's a bean and noodle soup at its core featuring thin egg noodles swimming in a fragrant broth spiced with turmeric, cumin, chiles, and black pepper. You use a medley of lentils, chickpeas, and borlotti beans which makes the soup heart and filling without being heavy. You add spinach, dill, and cilantro. You add lime juice for a bit of sour at the end. And then you've got a number of toppings to add when you serve the soup - chopped walnuts, caramelized onions, and sour cream. Amazing.|Medium
